Publication,exposure,outcome,measured confounders,Effect size,E-value,Their conclusion
Bellou et al. 2021,ever smoking,Pulmonary Fibrosis,"age, sex, Townsend deprivation index, and home population area density ",2.132,3.686,unmeasured confounding that could nullify these associations is not very plausible
,maternal smoking,Pulmonary Fibrosis,"age, sex, Townsend deprivation index, and home population area density ",1.341,2.017,unmeasured confounding that could nullify these associations is not very plausible
,household smoking,Pulmonary Fibrosis,"age, sex, Townsend deprivation index, and home population area density ",1.259,1.83,unmeasured confounding that could nullify these associations is not very plausible
Changes in Body Mass Index on the Risk of Back Pain: EstimatingtheImpacts ofWeightGain and Loss,Hypothetical 5% BMI reduction in waves 4 & 6,Moderate/severe back pain (¡Ý5/10) in wave 7,"Sex, race, education duration, Age, income, illness, arthritis, marital status, physical activity, depression, handgrip strength, baseline back pain",0.94,1.32,moderately robust to an unmeasured confounder
,Hypothetical 10% BMI reduction in waves 4 & 6,Moderate/severe back pain (¡Ý5/10) in wave 7,"Sex, race, education duration, Age, income, illness, arthritis, marital status, physical activity, depression, handgrip strength, baseline back pain",0.82,1.74,moderately robust to an unmeasured confounder
,Hypothetical 15% BMI reduction in waves 4 & 6,Moderate/severe back pain (¡Ý5/10) in wave 7,"Sex, race, education duration, Age, income, illness, arthritis, marital status, physical activity, depression, handgrip strength, baseline back pain",0.8,1.81,Moderately robust to unmeasured confounding
,Hypothetical 20% BMI reduction in waves 4 & 6,Moderate/severe back pain (¡Ý5/10) in wave 7,"Sex, race, education duration, Age, income, illness, arthritis, marital status, physical activity, depression, handgrip strength, baseline back pain",0.77,1.92,moderately robust to an unmeasured confounder
Combined use of Donepezil and Memantine increases the probability of five-year survival of Alzheimer's disease patients,No drug treatment,Five-year survival rate after initial Alzheimer's disease diagnosis,"Age at diagnosis, Gender, Race, Marital status, Cerebral infarction, Diabetes, Overweight and obesity, Hypertensive diseases, Other forms of heart disease, Acute kidney injury and chronic kidney disease",1.064,1.325,no apparent conclusion
,Memantine monotherapy,Five-year survival rate after initial Alzheimer's disease diagnosis,"Age at diagnosis, Gender, Race, Marital status, Cerebral infarction, Diabetes, Overweight and obesity, Hypertensive diseases, Other forms of heart disease, Acute kidney injury and chronic kidney disease",1.063,1.321,no apparent conclusion
,Donepezil monotherapy,Five-year survival rate after initial Alzheimer's disease diagnosis,"Age at diagnosis, Gender, Race, Marital status, Cerebral infarction, Diabetes, Overweight and obesity, Hypertensive diseases, Other forms of heart disease, Acute kidney injury and chronic kidney disease",1.085,1.389,no apparent conclusion
"Polychlorinated biphenyls (PCBs) exposure and cardiovascular, endocrine and metabolic diseases: A population-based cohort study in a North Italian highly polluted area",Total serum levels of polychlorinated biphenyls (Total PCBs),incidence risk of hypertension,"age,gender,level of education,BMI,cholesterol level,tobacco smoking,alcohol consumption",2.41,4.25,not easily explained by unmeasured confounding
